#,Name,Price,Area(sqft),Build_Time,Type,Location,Distance_to_MRT,Availability,Beds_num,Baths_num,Is_room,District_id,Longitude,Latitude
52,"Northvale, 61 Choa Chu Kang Loop",1200,120,1998,Apartment,61 Choa Chu Kang Loop,460,Everyone Welcome,1,0,Yes,,,
53,"The Plaza, 7500A Beach Road",1600,320,1979,Apartment,7500A Beach Road,490,Everyone Welcome,1,0,Yes,,,
54,"Parc Haven, 12 Lorong Limau",1380,1474,2005,Condo,12 Lorong Limau,1390,Everyone Welcome,1,0,Yes,,,
55,"Seletar Springs Condominium, 110 Gerald Drive",1800,1356,2001,Condo,110 Gerald Drive,860,Everyone Welcome,1,0,Yes,,,
56,"Bellewaters, 31 Anchorvale Crescent",1200,100,2017,Executive Condo,31 Anchorvale Crescent,320,Everyone Welcome,1,0,Yes,,,
57,"Evergreen Park, 31 Hougang Avenue 7",1500,150,1999,Apartment,31 Hougang Avenue 7,1270,Everyone Welcome,1,0,Yes,,,
58,"Royale Mansions, 5 Pulasan Road",1900,200,1992,Apartment,5 Pulasan Road,1140,Everyone Welcome,1,0,Yes,,,
59,163 Macpherson Road,1480,320,-,Apartment,163 Macpherson Road,950,Everyone Welcome,1,1,Yes,,,
60,"Tre Residences, 9 Geylang East Avenue 1",2150,200,2018,Condo,9 Geylang East Avenue 1,300,Everyone Welcome,1,1,Yes,,,
61,"Eng Apartments, 25 Lorong 25A Geylang",1200,150,1995,Apartment,25 Lorong 25A Geylang,280,Everyone Welcome,1,0,Yes,,,
62,"Far Horizon Gardens, 1 Ang Mo Kio Avenue 9",1113,130,1987,Condo, 1 Ang Mo Kio Avenue 9,420,Everyone Welcome,1,0,Yes,,,
63,"Dover Parkview, 34 Dover Rise",2400,60,1997,Condo,34 Dover Rise,880,Everyone Welcome,1,0,Yes,,,
64,"Yishun Sapphire, 40 Canberra Drive",1300,150,2002,Condo, 40 Canberra Drive,390,Everyone Welcome,1,0,Yes,,,
65,"Eastpoint Green, 1 Simei Street 3",1288,80,1998,Condo,1 Simei Street 3,610,Everyone Welcome,1,0,Yes,,,
66,677 Woodlands Avenue 6,1000,107,1997,HDB,677 Woodlands Avenue 6,400,Everyone Welcome,1,0,Yes,,,
67,331 Yishun Ring Road,1000,120,1988,HDB,331 Yishun Ring Road,140,Everyone Welcome,1,0,Yes,,,
68,210 Bukit Batok Street 21,850,800,1984,HDB,210 Bukit Batok Street 21,640,Everyone Welcome,1,0,Yes,,,
69,199 Toa Payoh North,899,140,1982,HDB,199 Toa Payoh North,320,Everyone Welcome,1,1,Yes,,,
70,109 Tampines Street 11,1300,1119,1983,HDB,109 Tampines Street 11,940,Everyone Welcome,1,0,Yes,,,
71,High Park Residences (27 Fernvale Rd),1100,581,2019,Condo,High Park Residences (27 Fernvale Rd),450,Everyone Welcome,1,0,Yes,,,
72,323 Woodlands Street 32,700,270,1995,HDB,323 Woodlands Street 32,710,Everyone Welcome,1,0,Yes,,,
73,515 Jurong West Street 52,800,100,1984,HDB,515 Jurong West Street 52,440,Everyone Welcome,1,0,Yes,,,
74,14 Taman Ho Swee,1350,65,1970,HDB,14 Taman Ho Swee,650,Everyone Welcome,1,0,Yes,,,
75,568 Hougang Street 51,850,150,1995,HDB,568 Hougang Street 51,70,Everyone Welcome,1,0,Yes,,,
76,622 Senja Road,1200,140,2000,HDB,622 Senja Road,530,Everyone Welcome,1,0,Yes,,,
77,406B Northshore Drive,900,120,-,HDB,406B Northshore Drive,280,Everyone Welcome,1,0,Yes,,,
78,324 Ang Mo Kio Avenue 3,850,130,1978,HDB,324 Ang Mo Kio Avenue 3,450,Everyone Welcome,1,0,Yes,,,
79,90 Tanglin Halt Road,1200,100,2007,HDB,90 Tanglin Halt Road,450,Everyone Welcome,1,0,Yes,,,
80,368 Woodlands Avenue 1,900,100,1997,HDB,368 Woodlands Avenue 1,560,Everyone Welcome,1,0,Yes,,,
81,424C Yishun Avenue 11,1350,150,2013,HDB,424C Yishun Avenue 11,2000,Everyone Welcome,1,0,Yes,,,
82,Robey Crescent,1400,120,-,Landed,Robey Crescent,140,Everyone Welcome,1,0,Yes,,,
83,571 Choa Chu Kang Street 52,1200,250,2013,HDB,571 Choa Chu Kang Street 52,550,Everyone Welcome,1,0,Yes,,,
84,146 Lorong 2 Toa Payoh,1200,100,2005,HDB,146 Lorong 2 Toa Payoh,390,Everyone Welcome,1,0,Yes,,,
85,126 Yishun Street 11,700,140,1983,HDB,126 Yishun Street 11,310,Everyone Welcome,1,0,Yes,,,
86,275 Tampines Street 22,1000,250,-,HDB,275 Tampines Street 22,920,Everyone Welcome,1,0,Yes,,,
87,642C Punggol Drive,800,129,2002,HDB,642C Punggol Drive,300,Everyone Welcome,1,0,Yes,,,
88,571B Woodlands Avenue 1,800,300,2012,HDB,571B Woodlands Avenue 1,530,Everyone Welcome,1,0,Yes,,,
89,501 West Coast Drive,1400,200,1979,HDB,501 West Coast Drive,100,Everyone Welcome,1,0,Yes,,,
90,Oasis @ Mulberry,900,150,2006,Landed,Oasis @ Mulberry,410,Everyone Welcome,1,0,Yes,,,
91,Moonstone View,1300,150,2000,Condo,Moonstone View,720,Everyone Welcome,1,0,Yes,,,
92,842G Tampines Street 82,1100,500,1994,HDB,842G Tampines Street 82,180,Everyone Welcome,1,0,Yes,,,
93,697C Jurong West Central 3,1000,150,2016,HDB,697C Jurong West Central 3,710,Everyone Welcome,1,0,Yes,,,
94,113 Rivervale Walk,1400,1076,1998,HDB,113 Rivervale Walk,190,Everyone Welcome,1,0,Yes,,,
95,181 Yung Sheng Road,1200,150,1999,HDB,181 Yung Sheng Road,1500,Everyone Welcome,1,0,Yes,,,
96,Ivory Heights,1250,110,1986,Apartment,Ivory Heights,720,Everyone Welcome,5,2,,,,
97,771 Yishun Avenue 3,1200,150,1985,HDB,771 Yishun Avenue 3,860,Everyone Welcome,1,0,Yes,,,
98,141 Bedok Reservoir Road,750,904,1986,HDB,141 Bedok Reservoir Road,600,Everyone Welcome,1,0,Yes,,,
